OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID
SO - 0002079,In-Store,WARE-PUJ1005,27/10/2018,14/1/2019,6/2/2019,10/2/2019,USD,11,34,278,43
SO - 0002080,In-Store,WARE-NMK1003,19/7/2018,14/1/2019,20/1/2019,30/1/2019,USD,1,41,190,8
SO - 0002081,In-Store,WARE-PUJ1005,19/7/2018,14/1/2019,18/1/2019,28/1/2019,USD,1,3,313,42
SO - 0002082,Wholesale,WARE-MKL1006,27/10/2018,14/1/2019,18/1/2019,24/1/2019,USD,26,38,339,22
SO - 0002083,In-Store,WARE-UHY1004,19/7/2018,14/1/2019,24/1/2019,1/2/2019,USD,11,48,249,46
SO - 0002084,Distributor,WARE-MKL1006,27/10/2018,15/1/2019,9/2/2019,13/2/2019,USD,25,24,350,16
SO - 0002085,In-Store,WARE-NBV1002,27/10/2018,15/1/2019,29/1/2019,5/2/2019,USD,6,40,67,24
SO - 0002086,In-Store,WARE-NMK1003,27/10/2018,15/1/2019,26/1/2019,29/1/2019,USD,12,33,101,22
SO - 0002087,In-Store,WARE-PUJ1005,27/10/2018,15/1/2019,9/2/2019,13/2/2019,USD,7,10,316,27
SO - 0002088,Online,WARE-MKL1006,27/10/2018,15/1/2019,6/2/2019,7/2/2019,USD,15,8,355,45
SO - 0002089,Distributor,WARE-PUJ1005,19/7/2018,15/1/2019,5/2/2019,15/2/2019,USD,23,41,273,32
SO - 0002090,In-Store,WARE-XYS1001,19/7/2018,15/1/2019,1/2/2019,7/2/2019,USD,10,32,23,47
SO - 0002091,In-Store,WARE-NMK1003,27/10/2018,15/1/2019,24/1/2019,31/1/2019,USD,7,26,124,4
SO - 0002092,In-Store,WARE-NMK1003,27/10/2018,15/1/2019,9/2/2019,19/2/2019,USD,9,39,88,18
SO - 0002093,Online,WARE-XYS1001,19/7/2018,15/1/2019,23/1/2019,25/1/2019,USD,13,24,13,35
SO - 0002094,Online,WARE-XYS1001,27/10/2018,16/1/2019,11/2/2019,14/2/2019,USD,18,19,36,6
SO - 0002095,In-Store,WARE-PUJ1005,27/10/2018,16/1/2019,12/2/2019,15/2/2019,USD,2,18,277,2
SO - 0002096,In-Store,WARE-UHY1004,27/10/2018,16/1/2019,22/1/2019,28/1/2019,USD,4,17,249,29
SO - 0002097,In-Store,WARE-MKL1006,27/10/2018,16/1/2019,13/2/2019,23/2/2019,USD,11,39,334,44
SO - 0002098,In-Store,WARE-XYS1001,27/10/2018,16/1/2019,21/1/2019,26/1/2019,USD,1,38,48,5
SO - 0002099,Online,WARE-MKL1006,27/10/2018,17/1/2019,14/2/2019,23/2/2019,USD,18,32,336,28
SO - 0002100,In-Store,WARE-UHY1004,27/10/2018,17/1/2019,5/2/2019,13/2/2019,USD,9,21,246,37
SO - 0002101,In-Store,WARE-PUJ1005,27/10/2018,17/1/2019,29/1/2019,5/2/2019,USD,8,5,287,8
SO - 0002102,In-Store,WARE-NMK1003,27/10/2018,17/1/2019,9/2/2019,18/2/2019,USD,1,19,91,17
SO - 0002103,Distributor,WARE-UHY1004,27/10/2018,17/1/2019,9/2/2019,15/2/2019,USD,25,11,231,13
SO - 0002104,In-Store,WARE-UHY1004,27/10/2018,17/1/2019,31/1/2019,6/2/2019,USD,4,35,217,42
SO - 0002105,In-Store,WARE-XYS1001,27/10/2018,17/1/2019,19/1/2019,21/1/2019,USD,9,21,25,38
SO - 0002106,Online,WARE-NMK1003,19/7/2018,17/1/2019,24/1/2019,25/1/2019,USD,19,11,184,38
SO - 0002107,Wholesale,WARE-PUJ1005,27/10/2018,17/1/2019,25/1/2019,28/1/2019,USD,28,31,290,46
SO - 0002108,In-Store,WARE-UHY1004,27/10/2018,17/1/2019,20/1/2019,27/1/2019,USD,6,48,215,33
SO - 0002109,In-Store,WARE-PUJ1005,27/10/2018,17/1/2019,26/1/2019,4/2/2019,USD,12,24,329,40
SO - 0002110,Distributor,WARE-PUJ1005,27/10/2018,18/1/2019,6/2/2019,15/2/2019,USD,23,38,300,27
SO - 0002111,Online,WARE-UHY1004,19/7/2018,18/1/2019,30/1/2019,31/1/2019,USD,18,48,254,15
SO - 0002112,In-Store,WARE-UHY1004,27/10/2018,18/1/2019,27/1/2019,2/2/2019,USD,12,7,213,46
SO - 0002113,Online,WARE-XYS1001,27/10/2018,18/1/2019,30/1/2019,9/2/2019,USD,20,25,23,14
SO - 0002114,Online,WARE-XYS1001,19/7/2018,18/1/2019,11/2/2019,19/2/2019,USD,16,12,44,31
SO - 0002115,Distributor,WARE-UHY1004,27/10/2018,18/1/2019,24/1/2019,29/1/2019,USD,22,9,227,5
SO - 0002116,Wholesale,WARE-NMK1003,27/10/2018,18/1/2019,3/2/2019,9/2/2019,USD,27,39,198,44
SO - 0002117,In-Store,WARE-NBV1002,27/10/2018,19/1/2019,22/1/2019,23/1/2019,USD,10,46,85,40
SO - 0002118,In-Store,WARE-PUJ1005,27/10/2018,19/1/2019,2/2/2019,7/2/2019,USD,1,6,270,3
SO - 0002119,Online,WARE-UHY1004,27/10/2018,19/1/2019,6/2/2019,7/2/2019,USD,14,22,243,2
SO - 0002120,Distributor,WARE-MKL1006,27/10/2018,19/1/2019,22/1/2019,26/1/2019,USD,21,33,362,44
SO - 0002121,Online,WARE-NMK1003,27/10/2018,19/1/2019,31/1/2019,10/2/2019,USD,15,26,142,33
SO - 0002122,In-Store,WARE-XYS1001,27/10/2018,19/1/2019,6/2/2019,13/2/2019,USD,6,42,7,8
SO - 0002123,In-Store,WARE-PUJ1005,27/10/2018,19/1/2019,6/2/2019,12/2/2019,USD,2,45,299,39
SO - 0002124,Distributor,WARE-PUJ1005,19/7/2018,20/1/2019,25/1/2019,26/1/2019,USD,24,32,285,20
SO - 0002125,Online,WARE-NMK1003,27/10/2018,20/1/2019,8/2/2019,9/2/2019,USD,20,38,197,39
SO - 0002126,In-Store,WARE-NMK1003,27/10/2018,20/1/2019,17/2/2019,24/2/2019,USD,6,46,94,13
SO - 0002127,Online,WARE-NMK1003,27/10/2018,20/1/2019,3/2/2019,6/2/2019,USD,15,31,102,20
SO - 0002128,Online,WARE-XYS1001,27/10/2018,20/1/2019,7/2/2019,10/2/2019,USD,14,43,36,9
SO - 0002129,In-Store,WARE-UHY1004,27/10/2018,20/1/2019,4/2/2019,11/2/2019,USD,7,14,246,9
SO - 0002130,Online,WARE-PUJ1005,27/10/2018,20/1/2019,3/2/2019,8/2/2019,USD,20,7,294,20
SO - 0002131,In-Store,WARE-XYS1001,27/10/2018,20/1/2019,13/2/2019,14/2/2019,USD,2,39,22,22
SO - 0002132,Wholesale,WARE-PUJ1005,27/10/2018,20/1/2019,31/1/2019,5/2/2019,USD,26,3,277,36
SO - 0002133,Wholesale,WARE-MKL1006,27/10/2018,20/1/2019,4/2/2019,8/2/2019,USD,26,41,350,25
SO - 0002134,Online,WARE-NMK1003,27/10/2018,20/1/2019,24/1/2019,30/1/2019,USD,19,7,170,23
SO - 0002135,In-Store,WARE-PUJ1005,27/10/2018,20/1/2019,27/1/2019,5/2/2019,USD,3,6,291,9
SO - 0002136,Wholesale,WARE-UHY1004,27/10/2018,20/1/2019,12/2/2019,17/2/2019,USD,28,18,242,5
SO - 0002137,In-Store,WARE-NBV1002,19/7/2018,20/1/2019,13/2/2019,23/2/2019,USD,8,14,68,10
SO - 0002138,In-Store,WARE-XYS1001,27/10/2018,20/1/2019,22/1/2019,29/1/2019,USD,9,3,56,24
SO - 0002139,Online,WARE-PUJ1005,27/10/2018,20/1/2019,26/1/2019,28/1/2019,USD,12,34,296,14
SO - 0002140,Online,WARE-UHY1004,27/10/2018,20/1/2019,8/2/2019,15/2/2019,USD,14,47,230,31
SO - 0002141,Online,WARE-NMK1003,27/10/2018,20/1/2019,4/2/2019,7/2/2019,USD,16,50,187,15
SO - 0002142,In-Store,WARE-PUJ1005,27/10/2018,20/1/2019,6/2/2019,15/2/2019,USD,7,35,281,11
SO - 0002143,Online,WARE-NMK1003,27/10/2018,21/1/2019,8/2/2019,11/2/2019,USD,13,35,173,13
SO - 0002144,In-Store,WARE-NMK1003,27/10/2018,21/1/2019,13/2/2019,17/2/2019,USD,5,20,134,20
SO - 0002145,Online,WARE-NMK1003,27/10/2018,21/1/2019,26/1/2019,31/1/2019,USD,14,19,128,4
SO - 0002146,Wholesale,WARE-NMK1003,27/10/2018,21/1/2019,28/1/2019,6/2/2019,USD,27,33,123,47
SO - 0002147,In-Store,WARE-PUJ1005,27/10/2018,21/1/2019,8/2/2019,14/2/2019,USD,1,43,280,46
SO - 0002148,Online,WARE-PUJ1005,27/10/2018,21/1/2019,26/1/2019,1/2/2019,USD,18,49,278,23
SO - 0002149,Wholesale,WARE-UHY1004,19/7/2018,22/1/2019,11/2/2019,17/2/2019,USD,25,33,230,26
SO - 0002150,Online,WARE-NMK1003,27/10/2018,22/1/2019,14/2/2019,16/2/2019,USD,16,48,148,37
SO - 0002151,In-Store,WARE-XYS1001,27/10/2018,22/1/2019,29/1/2019,2/2/2019,USD,4,37,36,14
SO - 0002152,Distributor,WARE-NMK1003,27/10/2018,22/1/2019,2/2/2019,6/2/2019,USD,25,15,134,35
SO - 0002153,Distributor,WARE-NBV1002,27/10/2018,22/1/2019,28/1/2019,29/1/2019,USD,21,5,76,20
SO - 0002154,Online,WARE-UHY1004,27/10/2018,23/1/2019,11/2/2019,14/2/2019,USD,19,36,252,25
SO - 0002155,In-Store,WARE-NMK1003,27/10/2018,23/1/2019,16/2/2019,17/2/2019,USD,7,24,150,10
SO - 0002156,Online,WARE-NBV1002,27/10/2018,23/1/2019,16/2/2019,26/2/2019,USD,19,10,75,36
SO - 0002157,In-Store,WARE-UHY1004,27/10/2018,23/1/2019,19/2/2019,24/2/2019,USD,12,9,225,11
SO - 0002158,Online,WARE-MKL1006,27/10/2018,23/1/2019,3/2/2019,5/2/2019,USD,19,12,346,34
SO - 0002159,Online,WARE-NMK1003,27/10/2018,23/1/2019,7/2/2019,8/2/2019,USD,14,39,174,4
SO - 0002160,Online,WARE-PUJ1005,27/10/2018,23/1/2019,12/2/2019,15/2/2019,USD,15,47,278,5
SO - 0002161,In-Store,WARE-MKL1006,27/10/2018,23/1/2019,3/2/2019,11/2/2019,USD,7,15,352,33
SO - 0002162,In-Store,WARE-XYS1001,27/10/2018,23/1/2019,14/2/2019,19/2/2019,USD,3,11,47,11
SO - 0002163,Online,WARE-NMK1003,19/7/2018,23/1/2019,7/2/2019,10/2/2019,USD,14,5,180,6
SO - 0002164,Distributor,WARE-NBV1002,27/10/2018,24/1/2019,20/2/2019,23/2/2019,USD,20,25,87,30
SO - 0002165,In-Store,WARE-NBV1002,27/10/2018,24/1/2019,10/2/2019,12/2/2019,USD,8,25,64,19
SO - 0002166,Online,WARE-PUJ1005,27/10/2018,24/1/2019,2/2/2019,11/2/2019,USD,13,16,286,17
SO - 0002167,In-Store,WARE-MKL1006,27/10/2018,24/1/2019,5/2/2019,10/2/2019,USD,5,1,335,8
SO - 0002168,Online,WARE-XYS1001,27/10/2018,24/1/2019,28/1/2019,7/2/2019,USD,16,14,38,18
SO - 0002169,In-Store,WARE-NMK1003,27/10/2018,25/1/2019,17/2/2019,26/2/2019,USD,8,30,161,32
SO - 0002170,In-Store,WARE-UHY1004,27/10/2018,25/1/2019,27/1/2019,4/2/2019,USD,3,44,241,10
SO - 0002171,Distributor,WARE-NMK1003,27/10/2018,25/1/2019,15/2/2019,25/2/2019,USD,24,6,191,36
SO - 0002172,In-Store,WARE-PUJ1005,27/10/2018,25/1/2019,16/2/2019,23/2/2019,USD,4,1,303,18
SO - 0002173,Wholesale,WARE-MKL1006,27/10/2018,25/1/2019,21/2/2019,25/2/2019,USD,26,25,330,34
SO - 0002174,In-Store,WARE-UHY1004,27/10/2018,25/1/2019,5/2/2019,15/2/2019,USD,9,46,233,13
SO - 0002175,Distributor,WARE-PUJ1005,27/10/2018,26/1/2019,29/1/2019,7/2/2019,USD,21,38,274,14
SO - 0002176,Wholesale,WARE-MKL1006,27/10/2018,26/1/2019,30/1/2019,31/1/2019,USD,26,44,333,42
SO - 0002177,Online,WARE-UHY1004,27/10/2018,26/1/2019,10/2/2019,15/2/2019,USD,14,42,227,47
SO - 0002178,In-Store,WARE-PUJ1005,27/10/2018,26/1/2019,11/2/2019,20/2/2019,USD,2,27,310,8
SO - 0002179,Online,WARE-NMK1003,27/10/2018,26/1/2019,31/1/2019,6/2/2019,USD,13,20,98,31
SO - 0002180,In-Store,WARE-XYS1001,27/10/2018,26/1/2019,14/2/2019,23/2/2019,USD,2,42,51,43
SO - 0002181,Online,WARE-PUJ1005,27/10/2018,27/1/2019,4/2/2019,5/2/2019,USD,12,33,284,42
SO - 0002182,Online,WARE-XYS1001,27/10/2018,27/1/2019,3/2/2019,12/2/2019,USD,13,12,22,39
SO - 0002183,In-Store,WARE-PUJ1005,27/10/2018,27/1/2019,11/2/2019,14/2/2019,USD,1,49,301,42
SO - 0002184,Online,WARE-XYS1001,27/10/2018,27/1/2019,8/2/2019,16/2/2019,USD,16,17,48,39
SO - 0002185,Online,WARE-XYS1001,27/10/2018,27/1/2019,19/2/2019,26/2/2019,USD,15,34,43,28
SO - 0002186,Online,WARE-NMK1003,27/10/2018,27/1/2019,29/1/2019,3/2/2019,USD,19,41,127,36
SO - 0002187,Wholesale,WARE-NMK1003,27/10/2018,27/1/2019,14/2/2019,17/2/2019,USD,28,32,103,14
SO - 0002188,Wholesale,WARE-XYS1001,27/10/2018,27/1/2019,15/2/2019,17/2/2019,USD,26,13,21,16
SO - 0002189,In-Store,WARE-UHY1004,27/10/2018,27/1/2019,23/2/2019,5/3/2019,USD,3,21,246,10
SO - 0002190,Online,WARE-MKL1006,27/10/2018,27/1/2019,18/2/2019,27/2/2019,USD,12,19,344,30
SO - 0002191,Distributor,WARE-MKL1006,27/10/2018,27/1/2019,13/2/2019,14/2/2019,USD,21,37,365,28
SO - 0002192,Wholesale,WARE-UHY1004,27/10/2018,28/1/2019,22/2/2019,4/3/2019,USD,26,44,253,35
SO - 0002193,Online,WARE-UHY1004,27/10/2018,28/1/2019,24/2/2019,4/3/2019,USD,13,50,253,11
SO - 0002194,In-Store,WARE-NMK1003,27/10/2018,28/1/2019,17/2/2019,27/2/2019,USD,4,27,143,8
SO - 0002195,In-Store,WARE-NMK1003,27/10/2018,28/1/2019,22/2/2019,26/2/2019,USD,7,48,133,27
SO - 0002196,Distributor,WARE-UHY1004,27/10/2018,28/1/2019,25/2/2019,4/3/2019,USD,24,23,240,16
SO - 0002197,Distributor,WARE-PUJ1005,27/10/2018,28/1/2019,25/2/2019,28/2/2019,USD,25,38,313,3
SO - 0002198,Distributor,WARE-MKL1006,27/10/2018,28/1/2019,14/2/2019,20/2/2019,USD,23,48,356,5
SO - 0002199,Distributor,WARE-UHY1004,27/10/2018,28/1/2019,10/2/2019,12/2/2019,USD,24,41,239,36
SO - 0002200,Online,WARE-MKL1006,27/10/2018,28/1/2019,31/1/2019,1/2/2019,USD,15,38,348,6
SO - 0002201,In-Store,WARE-PUJ1005,27/10/2018,28/1/2019,19/2/2019,27/2/2019,USD,10,24,268,47
SO - 0002202,Distributor,WARE-NMK1003,27/10/2018,28/1/2019,6/2/2019,13/2/2019,USD,24,8,106,29
SO - 0002203,Online,WARE-XYS1001,27/10/2018,28/1/2019,22/2/2019,4/3/2019,USD,15,18,32,20
SO - 0002204,In-Store,WARE-PUJ1005,27/10/2018,28/1/2019,20/2/2019,28/2/2019,USD,8,49,261,36
SO - 0002205,In-Store,WARE-NMK1003,27/10/2018,28/1/2019,20/2/2019,23/2/2019,USD,1,33,175,18
SO - 0002206,In-Store,WARE-NBV1002,27/10/2018,28/1/2019,1/2/2019,10/2/2019,USD,12,25,73,41
SO - 0002207,In-Store,WARE-NBV1002,27/10/2018,28/1/2019,24/2/2019,26/2/2019,USD,6,5,65,44
SO - 0002208,In-Store,WARE-NBV1002,27/10/2018,29/1/2019,22/2/2019,28/2/2019,USD,11,43,86,38
SO - 0002209,Online,WARE-PUJ1005,27/10/2018,29/1/2019,3/2/2019,12/2/2019,USD,20,3,287,40
SO - 0002210,Distributor,WARE-MKL1006,27/10/2018,29/1/2019,11/2/2019,14/2/2019,USD,22,20,341,38
SO - 0002211,In-Store,WARE-NMK1003,27/10/2018,29/1/2019,7/2/2019,17/2/2019,USD,10,11,107,7
SO - 0002212,In-Store,WARE-NBV1002,27/10/2018,29/1/2019,13/2/2019,17/2/2019,USD,12,6,80,6
SO - 0002213,Online,WARE-XYS1001,27/10/2018,29/1/2019,3/2/2019,8/2/2019,USD,13,30,31,9
SO - 0002214,In-Store,WARE-NMK1003,27/10/2018,29/1/2019,20/2/2019,26/2/2019,USD,2,49,178,16
SO - 0002215,Wholesale,WARE-NMK1003,27/10/2018,29/1/2019,18/2/2019,19/2/2019,USD,27,3,178,16
SO - 0002216,Online,WARE-NMK1003,27/10/2018,29/1/2019,9/2/2019,12/2/2019,USD,13,4,115,27
SO - 0002217,Wholesale,WARE-XYS1001,27/10/2018,29/1/2019,14/2/2019,23/2/2019,USD,26,21,7,1
SO - 0002218,In-Store,WARE-NMK1003,27/10/2018,30/1/2019,18/2/2019,28/2/2019,USD,5,34,101,24
SO - 0002219,Online,WARE-UHY1004,27/10/2018,30/1/2019,24/2/2019,1/3/2019,USD,18,41,214,3
SO - 0002220,Distributor,WARE-PUJ1005,27/10/2018,30/1/2019,22/2/2019,27/2/2019,USD,21,28,316,2
SO - 0002221,In-Store,WARE-XYS1001,27/10/2018,30/1/2019,8/2/2019,14/2/2019,USD,8,7,42,4
SO - 0002222,Wholesale,WARE-XYS1001,27/10/2018,30/1/2019,19/2/2019,28/2/2019,USD,27,19,7,9
SO - 0002223,In-Store,WARE-NMK1003,27/10/2018,31/1/2019,19/2/2019,21/2/2019,USD,2,21,183,22
SO - 0002224,In-Store,WARE-MKL1006,27/10/2018,31/1/2019,25/2/2019,7/3/2019,USD,10,48,338,25
SO - 0002225,Wholesale,WARE-PUJ1005,27/10/2018,31/1/2019,13/2/2019,14/2/2019,USD,26,26,279,28
SO - 0002226,Distributor,WARE-PUJ1005,27/10/2018,31/1/2019,21/2/2019,3/3/2019,USD,21,30,320,44
SO - 0002227,Online,WARE-PUJ1005,27/10/2018,31/1/2019,24/2/2019,28/2/2019,USD,16,41,304,42
SO - 0002228,Online,WARE-NMK1003,27/10/2018,31/1/2019,22/2/2019,2/3/2019,USD,13,39,195,36
SO - 0002229,In-Store,WARE-NMK1003,27/10/2018,31/1/2019,24/2/2019,25/2/2019,USD,7,14,145,37
SO - 0002230,In-Store,WARE-PUJ1005,27/10/2018,1/2/2019,1/3/2019,10/3/2019,USD,2,4,302,42
SO - 0002231,Wholesale,WARE-UHY1004,27/10/2018,1/2/2019,10/2/2019,14/2/2019,USD,26,22,242,22
SO - 0002232,Online,WARE-NBV1002,27/10/2018,1/2/2019,10/2/2019,11/2/2019,USD,16,4,84,35
SO - 0002233,Online,WARE-MKL1006,27/10/2018,1/2/2019,21/2/2019,23/2/2019,USD,16,6,355,46
SO - 0002234,Online,WARE-NMK1003,27/10/2018,1/2/2019,28/2/2019,4/3/2019,USD,14,23,124,17
SO - 0002235,Distributor,WARE-UHY1004,27/10/2018,2/2/2019,7/2/2019,12/2/2019,USD,21,40,243,15
SO - 0002236,In-Store,WARE-PUJ1005,27/10/2018,2/2/2019,12/2/2019,15/2/2019,USD,2,29,301,35
SO - 0002237,Online,WARE-UHY1004,27/10/2018,2/2/2019,11/2/2019,21/2/2019,USD,12,4,235,25
SO - 0002238,Wholesale,WARE-NMK1003,27/10/2018,2/2/2019,10/2/2019,11/2/2019,USD,26,21,90,8
SO - 0002239,Online,WARE-NMK1003,27/10/2018,2/2/2019,18/2/2019,24/2/2019,USD,18,29,154,32
SO - 0002240,In-Store,WARE-NMK1003,27/10/2018,3/2/2019,26/2/2019,8/3/2019,USD,5,31,139,27
SO - 0002241,In-Store,WARE-PUJ1005,27/10/2018,3/2/2019,5/2/2019,12/2/2019,USD,4,9,272,19
SO - 0002242,In-Store,WARE-PUJ1005,27/10/2018,3/2/2019,19/2/2019,1/3/2019,USD,1,40,321,28
SO - 0002243,Wholesale,WARE-MKL1006,27/10/2018,3/2/2019,26/2/2019,1/3/2019,USD,26,35,363,24
SO - 0002244,Distributor,WARE-NMK1003,27/10/2018,3/2/2019,23/2/2019,24/2/2019,USD,24,32,193,47
SO - 0002245,Online,WARE-MKL1006,27/10/2018,3/2/2019,24/2/2019,2/3/2019,USD,15,6,353,32
SO - 0002246,Distributor,WARE-NMK1003,27/10/2018,3/2/2019,3/3/2019,9/3/2019,USD,24,11,168,21
SO - 0002247,Online,WARE-PUJ1005,27/10/2018,3/2/2019,15/2/2019,25/2/2019,USD,18,46,276,9
SO - 0002248,In-Store,WARE-MKL1006,27/10/2018,3/2/2019,16/2/2019,24/2/2019,USD,7,40,348,19
SO - 0002249,Wholesale,WARE-PUJ1005,27/10/2018,4/2/2019,16/2/2019,23/2/2019,USD,26,24,300,22
SO - 0002250,Wholesale,WARE-PUJ1005,27/10/2018,4/2/2019,18/2/2019,21/2/2019,USD,28,41,279,19
SO - 0002251,Online,WARE-NMK1003,27/10/2018,4/2/2019,18/2/2019,26/2/2019,USD,13,19,174,27
SO - 0002252,In-Store,WARE-XYS1001,27/10/2018,4/2/2019,13/2/2019,20/2/2019,USD,9,45,56,36
SO - 0002253,Online,WARE-NMK1003,27/10/2018,4/2/2019,4/3/2019,7/3/2019,USD,14,48,130,6
SO - 0002254,Online,WARE-MKL1006,27/10/2018,4/2/2019,23/2/2019,27/2/2019,USD,16,13,357,25
SO - 0002255,In-Store,WARE-UHY1004,27/10/2018,4/2/2019,21/2/2019,24/2/2019,USD,8,34,236,12
SO - 0002256,In-Store,WARE-NMK1003,27/10/2018,5/2/2019,1/3/2019,5/3/2019,USD,12,24,178,41
SO - 0002257,Online,WARE-XYS1001,27/10/2018,5/2/2019,19/2/2019,28/2/2019,USD,18,2,30,25
SO - 0002258,Distributor,WARE-PUJ1005,27/10/2018,5/2/2019,3/3/2019,6/3/2019,USD,23,48,312,7
SO - 0002259,Distributor,WARE-XYS1001,27/10/2018,5/2/2019,8/2/2019,14/2/2019,USD,21,2,17,3
SO - 0002260,Distributor,WARE-NMK1003,27/10/2018,5/2/2019,19/2/2019,1/3/2019,USD,21,10,147,39
SO - 0002261,Wholesale,WARE-NBV1002,27/10/2018,5/2/2019,8/2/2019,12/2/2019,USD,26,36,76,41
SO - 0002262,Online,WARE-XYS1001,27/10/2018,5/2/2019,14/2/2019,24/2/2019,USD,20,35,42,42
SO - 0002263,In-Store,WARE-UHY1004,27/10/2018,5/2/2019,27/2/2019,2/3/2019,USD,5,37,219,39
SO - 0002264,In-Store,WARE-MKL1006,27/10/2018,5/2/2019,8/2/2019,18/2/2019,USD,8,26,359,29
SO - 0002265,Wholesale,WARE-XYS1001,27/10/2018,5/2/2019,21/2/2019,2/3/2019,USD,26,33,21,16
SO - 0002266,Wholesale,WARE-XYS1001,27/10/2018,5/2/2019,1/3/2019,3/3/2019,USD,28,16,29,5
SO - 0002267,Distributor,WARE-NMK1003,27/10/2018,6/2/2019,5/3/2019,13/3/2019,USD,21,42,149,22
SO - 0002268,Online,WARE-UHY1004,27/10/2018,6/2/2019,26/2/2019,8/3/2019,USD,19,31,249,9
SO - 0002269,Online,WARE-PUJ1005,27/10/2018,6/2/2019,4/3/2019,13/3/2019,USD,18,24,295,23
SO - 0002270,In-Store,WARE-NMK1003,27/10/2018,6/2/2019,2/3/2019,5/3/2019,USD,8,37,202,15
SO - 0002271,Distributor,WARE-XYS1001,27/10/2018,6/2/2019,8/2/2019,16/2/2019,USD,23,6,47,5
SO - 0002272,Wholesale,WARE-NMK1003,27/10/2018,6/2/2019,9/2/2019,18/2/2019,USD,27,22,136,28
SO - 0002273,Distributor,WARE-NMK1003,27/10/2018,6/2/2019,14/2/2019,15/2/2019,USD,25,19,148,21
SO - 0002274,Online,WARE-MKL1006,27/10/2018,6/2/2019,20/2/2019,27/2/2019,USD,18,13,352,7
SO - 0002275,Online,WARE-NMK1003,27/10/2018,6/2/2019,28/2/2019,6/3/2019,USD,15,14,190,36
SO - 0002276,Online,WARE-UHY1004,27/10/2018,6/2/2019,25/2/2019,5/3/2019,USD,14,8,218,22
SO - 0002277,In-Store,WARE-PUJ1005,27/10/2018,7/2/2019,24/2/2019,6/3/2019,USD,5,44,297,31
SO - 0002278,In-Store,WARE-PUJ1005,27/10/2018,7/2/2019,22/2/2019,24/2/2019,USD,6,50,281,17
SO - 0002279,Wholesale,WARE-NMK1003,27/10/2018,7/2/2019,2/3/2019,5/3/2019,USD,26,21,100,45
SO - 0002280,Online,WARE-XYS1001,27/10/2018,7/2/2019,16/2/2019,20/2/2019,USD,16,39,24,33
SO - 0002281,Online,WARE-NMK1003,27/10/2018,7/2/2019,19/2/2019,20/2/2019,USD,18,1,155,34
SO - 0002282,In-Store,WARE-XYS1001,27/10/2018,7/2/2019,27/2/2019,1/3/2019,USD,3,39,30,7
SO - 0002283,Distributor,WARE-XYS1001,27/10/2018,7/2/2019,10/2/2019,14/2/2019,USD,21,37,40,41
SO - 0002284,Distributor,WARE-NMK1003,27/10/2018,7/2/2019,18/2/2019,26/2/2019,USD,21,4,169,20
SO - 0002285,In-Store,WARE-PUJ1005,27/10/2018,7/2/2019,14/2/2019,19/2/2019,USD,8,29,290,27
SO - 0002286,Distributor,WARE-UHY1004,27/10/2018,7/2/2019,28/2/2019,1/3/2019,USD,21,2,212,38
SO - 0002287,In-Store,WARE-XYS1001,27/10/2018,7/2/2019,6/3/2019,10/3/2019,USD,4,24,30,22
SO - 0002288,Distributor,WARE-NMK1003,27/10/2018,8/2/2019,8/3/2019,18/3/2019,USD,23,34,152,8
SO - 0002289,Online,WARE-UHY1004,27/10/2018,8/2/2019,8/3/2019,10/3/2019,USD,18,35,206,41
SO - 0002290,In-Store,WARE-UHY1004,27/10/2018,8/2/2019,19/2/2019,25/2/2019,USD,7,7,225,22
SO - 0002291,In-Store,WARE-NBV1002,27/10/2018,8/2/2019,13/2/2019,21/2/2019,USD,3,3,63,6
SO - 0002292,Distributor,WARE-PUJ1005,27/10/2018,8/2/2019,3/3/2019,12/3/2019,USD,23,25,292,20
SO - 0002293,In-Store,WARE-UHY1004,27/10/2018,8/2/2019,20/2/2019,23/2/2019,USD,11,36,255,27
SO - 0002294,In-Store,WARE-UHY1004,27/10/2018,8/2/2019,18/2/2019,19/2/2019,USD,3,44,231,11
SO - 0002295,In-Store,WARE-XYS1001,27/10/2018,8/2/2019,19/2/2019,21/2/2019,USD,12,34,43,18
SO - 0002296,In-Store,WARE-NBV1002,27/10/2018,8/2/2019,16/2/2019,19/2/2019,USD,10,18,81,9
SO - 0002297,Online,WARE-MKL1006,27/10/2018,9/2/2019,9/3/2019,10/3/2019,USD,12,12,332,44
SO - 0002298,In-Store,WARE-PUJ1005,27/10/2018,9/2/2019,12/2/2019,17/2/2019,USD,5,13,293,23
SO - 0002299,Distributor,WARE-NMK1003,27/10/2018,9/2/2019,12/2/2019,16/2/2019,USD,24,45,173,42
SO - 0002300,In-Store,WARE-PUJ1005,27/10/2018,9/2/2019,24/2/2019,2/3/2019,USD,8,44,300,2
SO - 0002301,In-Store,WARE-NMK1003,27/10/2018,9/2/2019,2/3/2019,7/3/2019,USD,4,24,135,25
SO - 0002302,Distributor,WARE-MKL1006,27/10/2018,9/2/2019,8/3/2019,12/3/2019,USD,25,25,330,23
SO - 0002303,Online,WARE-MKL1006,27/10/2018,9/2/2019,21/2/2019,24/2/2019,USD,15,31,352,35
