OrderNumber,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 0001258,3,0.075,"1,072.00",621.76
SO - 0001259,4,0.15,"3,825.70","2,601.48"
SO - 0001260,6,0.05,"2,814.00","2,166.78"
SO - 0001261,8,0.05,"2,619.70","1,807.59"
SO - 0001262,7,0.3,"1,118.90",525.88
SO - 0001263,2,0.05,"1,072.00",514.56
SO - 0001264,2,0.05,"3,946.30","1,617.98"
SO - 0001265,7,0.05,241.20,166.43
SO - 0001266,2,0.05,241.20,156.78
SO - 0001267,8,0.4,"1,005.00",854.25
SO - 0001268,1,0.1,234.50,178.22
SO - 0001269,4,0.15,904.50,741.69
SO - 0001270,6,0.15,"1,085.40",477.58
SO - 0001271,5,0.15,"1,018.40",600.86
SO - 0001272,4,0.15,261.30,180.30
SO - 0001273,5,0.075,"3,939.60","2,166.78"
SO - 0001274,4,0.075,"6,117.10","3,364.41"
SO - 0001275,2,0.05,"1,775.50","1,207.34"
SO - 0001276,2,0.075,"1,005.00",683.40
SO - 0001277,8,0.05,"1,159.10",985.24
SO - 0001278,7,0.075,241.20,200.20
SO - 0001279,7,0.05,"5,936.20","3,264.91"
SO - 0001280,6,0.075,931.30,391.15
SO - 0001281,4,0.05,"1,299.80",623.90
SO - 0001282,2,0.05,"5,373.40","2,364.30"
SO - 0001283,2,0.3,"2,224.40","1,801.76"
SO - 0001284,5,0.075,"2,673.30","1,684.18"
SO - 0001285,6,0.1,"3,999.90","2,559.94"
SO - 0001286,2,0.05,"3,845.80","3,268.93"
SO - 0001287,2,0.15,"2,311.50","1,433.13"
SO - 0001288,3,0.15,"1,112.20",444.88
SO - 0001289,8,0.05,"1,031.80",588.13
SO - 0001290,4,0.3,891.10,650.50
SO - 0001291,4,0.1,"6,103.70","4,394.66"
SO - 0001292,3,0.1,"5,547.60","3,217.61"
SO - 0001293,3,0.05,683.40,396.37
SO - 0001294,6,0.15,"5,058.50","2,782.18"
SO - 0001295,8,0.075,"2,485.70","1,217.99"
SO - 0001296,8,0.075,"6,056.80","2,907.26"
SO - 0001297,8,0.1,"3,819.00","2,367.78"
SO - 0001298,6,0.1,951.40,437.64
SO - 0001299,6,0.2,"1,172.50",926.28
SO - 0001300,8,0.05,"2,586.20","1,396.55"
SO - 0001301,1,0.15,234.50,194.64
SO - 0001302,2,0.075,"1,192.60",632.08
SO - 0001303,6,0.15,"3,249.50","2,697.09"
SO - 0001304,7,0.3,"5,607.90","3,757.29"
SO - 0001305,1,0.1,"1,098.80",868.05
SO - 0001306,7,0.1,"1,936.30","1,394.14"
SO - 0001307,7,0.1,"6,371.70","4,460.19"
SO - 0001308,8,0.075,897.80,736.20
SO - 0001309,2,0.4,837.50,586.25
SO - 0001310,3,0.075,737.00,626.45
SO - 0001311,6,0.05,180.90,146.53
SO - 0001312,4,0.05,"3,463.90","1,662.67"
SO - 0001313,4,0.075,180.90,85.02
SO - 0001314,5,0.075,971.50,777.20
SO - 0001315,8,0.05,"2,472.30","1,310.32"
SO - 0001316,5,0.05,"2,385.20","1,025.64"
SO - 0001317,6,0.15,227.80,150.35
SO - 0001318,4,0.05,"1,983.20","1,487.40"
SO - 0001319,3,0.05,"3,973.10","2,423.59"
SO - 0001320,7,0.2,"3,926.20","2,120.15"
SO - 0001321,7,0.075,"2,412.00","2,001.96"
SO - 0001322,8,0.1,207.70,137.08
SO - 0001323,6,0.075,"3,155.70","1,924.98"
SO - 0001324,5,0.2,991.60,475.97
SO - 0001325,6,0.075,"1,185.90",913.14
SO - 0001326,8,0.05,201.00,152.76
SO - 0001327,8,0.1,"1,159.10",834.55
SO - 0001328,5,0.3,"2,653.20","1,247.00"
SO - 0001329,8,0.2,"3,932.90","1,691.15"
SO - 0001330,7,0.075,"2,680.00","2,010.00"
SO - 0001331,6,0.075,"2,385.20","1,836.60"
SO - 0001332,4,0.05,"1,949.70","1,559.76"
SO - 0001333,8,0.05,"1,139.00",489.77
SO - 0001334,8,0.15,"2,646.50","1,561.44"
SO - 0001335,2,0.1,221.10,185.72
SO - 0001336,4,0.1,"1,025.10",574.06
SO - 0001337,7,0.075,268.00,125.96
SO - 0001338,5,0.4,"1,098.80",912.00
SO - 0001339,8,0.15,"2,653.20","1,538.86"
SO - 0001340,4,0.075,"2,237.80","1,297.92"
SO - 0001341,4,0.05,"1,922.90",884.53
SO - 0001342,2,0.05,"5,380.10","4,304.08"
SO - 0001343,2,0.05,"1,078.70",528.56
SO - 0001344,2,0.1,"2,271.30","1,294.64"
SO - 0001345,3,0.15,"5,473.90","2,846.43"
SO - 0001346,8,0.075,"2,371.80","1,541.67"
SO - 0001347,7,0.075,877.70,465.18
SO - 0001348,6,0.2,"1,688.40",759.78
SO - 0001349,4,0.075,"1,246.20",710.33
SO - 0001350,6,0.1,187.60,121.94
SO - 0001351,7,0.05,"1,018.40",712.88
SO - 0001352,3,0.075,"1,721.90",792.07
SO - 0001353,6,0.075,"3,082.00","1,541.00"
SO - 0001354,5,0.1,"2,010.00","1,346.70"
SO - 0001355,6,0.15,"3,946.30","3,314.89"
SO - 0001356,5,0.075,"2,633.10","1,132.23"
SO - 0001357,8,0.1,"2,894.40","1,389.31"
SO - 0001358,8,0.075,871.00,600.99
SO - 0001359,2,0.05,"1,118.90",548.26
SO - 0001360,4,0.15,"3,048.50","1,768.13"
SO - 0001361,2,0.1,"3,276.30","1,539.86"
SO - 0001362,4,0.2,"1,132.30",520.86
SO - 0001363,5,0.075,964.80,762.19
SO - 0001364,6,0.15,268.00,155.44
SO - 0001365,1,0.2,978.20,665.18
SO - 0001366,2,0.2,"3,872.60","2,672.09"
SO - 0001367,1,0.2,"2,954.70","2,511.50"
SO - 0001368,1,0.1,"2,418.70","1,330.29"
SO - 0001369,4,0.15,"2,217.70",953.61
SO - 0001370,3,0.1,"3,564.40","2,495.08"
SO - 0001371,3,0.1,"1,835.80","1,468.64"
SO - 0001372,7,0.2,"2,626.40","2,153.65"
SO - 0001373,4,0.075,"2,532.60","1,848.80"
SO - 0001374,8,0.3,"2,391.90","1,770.01"
SO - 0001375,6,0.1,817.40,621.22
SO - 0001376,5,0.15,"3,939.60","1,575.84"
SO - 0001377,7,0.075,"3,182.50","1,686.73"
SO - 0001378,2,0.1,"1,728.60","1,279.16"
SO - 0001379,3,0.15,"2,680.00","2,170.80"
SO - 0001380,1,0.2,991.60,654.46
SO - 0001381,8,0.1,254.60,124.75
SO - 0001382,2,0.15,"3,899.40","2,417.63"
SO - 0001383,8,0.05,"3,966.40","2,736.82"
SO - 0001384,4,0.05,"1,299.80","1,039.84"
SO - 0001385,1,0.05,"3,805.60","3,158.65"
SO - 0001386,2,0.1,"1,045.20",637.57
SO - 0001387,2,0.15,"3,021.70","1,450.42"
SO - 0001388,5,0.075,261.30,216.88
SO - 0001389,8,0.1,"6,505.70","4,944.33"
SO - 0001390,7,0.05,"1,835.80",789.39
SO - 0001391,8,0.1,"3,912.80","1,995.53"
SO - 0001392,1,0.1,"2,505.80","1,303.02"
SO - 0001393,2,0.1,857.60,548.86
SO - 0001394,3,0.3,964.80,762.19
SO - 0001395,7,0.4,"5,695.00","2,334.95"
SO - 0001396,5,0.075,"1,005.00",753.75
SO - 0001397,3,0.05,"2,338.30","1,800.49"
SO - 0001398,4,0.1,"1,011.70",435.03
SO - 0001399,5,0.15,857.60,557.44
SO - 0001400,8,0.1,221.10,183.51
SO - 0001401,2,0.05,"1,715.20",943.36
SO - 0001402,8,0.075,"2,264.60","1,494.64"
SO - 0001403,4,0.05,"1,005.00",452.25
SO - 0001404,1,0.15,"3,812.30","2,211.13"
SO - 0001405,2,0.05,944.70,661.29
SO - 0001406,7,0.1,"1,206.00",916.56
SO - 0001407,3,0.05,"3,865.90","1,816.97"
SO - 0001408,8,0.05,"3,892.70","2,452.40"
SO - 0001409,1,0.3,167.50,142.38
SO - 0001410,2,0.05,180.90,85.02
SO - 0001411,2,0.4,"1,815.70",835.22
SO - 0001412,5,0.075,261.30,143.72
SO - 0001413,8,0.075,"1,125.60",619.08
SO - 0001414,2,0.05,"1,092.10",797.23
SO - 0001415,6,0.1,"3,953.00","3,241.46"
SO - 0001416,7,0.1,"5,205.90","4,372.96"
SO - 0001417,3,0.075,"2,666.60","2,213.28"
SO - 0001418,4,0.05,"5,942.90","4,576.03"
SO - 0001419,8,0.075,"2,412.00","1,181.88"
SO - 0001420,3,0.05,"1,098.80",813.11
SO - 0001421,6,0.2,"1,132.30",905.84
SO - 0001422,7,0.05,"3,604.60","1,838.35"
SO - 0001423,3,0.05,"1,025.10",563.81
SO - 0001424,2,0.075,"1,688.40",844.20
SO - 0001425,2,0.1,"4,020.00","3,417.00"
SO - 0001426,3,0.1,"6,157.30","4,186.96"
SO - 0001427,4,0.2,"2,499.10","1,399.50"
SO - 0001428,3,0.3,"2,512.50","2,060.25"
SO - 0001429,5,0.05,"1,179.20",978.74
SO - 0001430,7,0.075,221.10,181.30
SO - 0001431,8,0.2,"1,018.40",488.83
SO - 0001432,6,0.1,"1,098.80",736.20
SO - 0001433,4,0.4,"2,458.90","1,819.59"
SO - 0001434,1,0.1,"1,018.40",539.75
SO - 0001435,8,0.3,"2,244.50","1,054.92"
SO - 0001436,2,0.075,877.70,649.50
SO - 0001437,5,0.15,"3,999.90","2,039.95"
SO - 0001438,8,0.075,"3,966.40","1,784.88"
SO - 0001439,1,0.15,"2,633.10","2,080.15"
SO - 0001440,2,0.4,"1,882.70",960.18
SO - 0001441,5,0.05,"2,720.20","1,251.29"
SO - 0001442,5,0.075,"5,902.70","3,541.62"
SO - 0001443,1,0.05,"1,058.60",455.20
SO - 0001444,3,0.15,"1,085.40",596.97
SO - 0001445,4,0.4,"2,264.60",973.78
SO - 0001446,8,0.075,810.70,486.42
SO - 0001447,3,0.2,"3,932.90","1,612.49"
SO - 0001448,6,0.05,"4,020.00","3,015.00"
SO - 0001449,6,0.1,"6,532.50","5,487.30"
SO - 0001450,2,0.1,750.40,405.22
SO - 0001451,3,0.075,"1,943.00",777.20
SO - 0001452,8,0.15,"1,038.50",591.95
SO - 0001453,8,0.05,"3,906.10","2,929.58"
SO - 0001454,4,0.075,777.20,411.92
SO - 0001455,4,0.05,"2,519.20","1,032.87"
SO - 0001456,3,0.1,"3,932.90","2,713.70"
SO - 0001457,6,0.05,"1,293.10",685.34
SO - 0001458,8,0.3,"1,011.70",435.03
SO - 0001459,6,0.05,187.60,150.08
SO - 0001460,6,0.05,"2,525.90","1,843.91"
SO - 0001461,7,0.05,"5,199.20","2,859.56"
SO - 0001462,5,0.1,"5,038.40","2,720.74"
SO - 0001463,2,0.075,"1,051.90",620.62
SO - 0001464,8,0.05,"1,681.70","1,194.01"
SO - 0001465,6,0.05,"1,829.10",786.51
SO - 0001466,5,0.4,"1,172.50",715.23
SO - 0001467,6,0.05,"6,358.30","2,543.32"
SO - 0001468,1,0.075,984.90,787.92
SO - 0001469,4,0.05,"2,532.60","1,899.45"
SO - 0001470,7,0.05,958.10,785.64
SO - 0001471,1,0.075,"3,906.10","2,304.60"
SO - 0001472,4,0.1,"2,666.60","1,893.29"
SO - 0001473,7,0.4,"2,747.00","1,785.55"
SO - 0001474,1,0.05,"1,058.60",529.30
SO - 0001475,5,0.15,"1,306.50",940.68
SO - 0001476,4,0.05,"2,572.80","1,543.68"
SO - 0001477,3,0.1,"1,125.60",787.92
SO - 0001478,7,0.3,911.20,692.51
SO - 0001479,1,0.075,"1,092.10",688.02
SO - 0001480,7,0.4,"1,916.20","1,417.99"
SO - 0001481,7,0.075,"5,252.80","4,044.66"
SO - 0001482,2,0.1,180.90,121.20
SO - 0001483,2,0.1,"3,892.70","2,763.82"
SO - 0001484,4,0.15,247.90,180.97
SO - 0001485,6,0.05,"3,658.20","2,707.07"
SO - 0001486,7,0.05,"6,512.40","3,712.07"
SO - 0001487,5,0.05,"1,031.80",815.12
SO - 0001488,7,0.05,"1,862.60","1,527.33"
SO - 0001489,1,0.1,"2,365.10","1,206.20"
SO - 0001490,3,0.4,241.20,190.55
SO - 0001491,5,0.075,"1,005.00",693.45
SO - 0001492,8,0.3,"1,112.20",500.49
SO - 0001493,7,0.05,"1,045.20",522.60
SO - 0001494,1,0.05,234.50,136.01
SO - 0001495,5,0.05,"2,231.10","1,695.64"
SO - 0001496,2,0.05,"4,013.30","2,729.04"
SO - 0001497,2,0.075,"1,735.30",780.89
SO - 0001498,3,0.1,"2,003.30","1,522.51"
SO - 0001499,2,0.1,234.50,171.19
SO - 0001500,1,0.15,"1,842.50","1,308.18"
SO - 0001501,7,0.075,"1,125.60",697.87
SO - 0001502,4,0.075,"1,721.90",947.05
SO - 0001503,6,0.05,"1,025.10",584.31
SO - 0001504,5,0.05,"2,519.20","1,184.02"
SO - 0001505,2,0.1,"2,941.30","2,500.11"
SO - 0001506,5,0.05,"1,098.80",527.42
SO - 0001507,3,0.05,"5,862.50","2,520.88"
SO - 0001508,7,0.05,"3,959.70","2,653.00"
SO - 0001509,5,0.05,"2,412.00","1,423.08"
SO - 0001510,1,0.075,951.40,780.15
SO - 0001511,7,0.1,"3,859.20","3,125.95"
SO - 0001512,6,0.05,"1,098.80",560.39
SO - 0001513,1,0.075,"1,165.80",594.56
SO - 0001514,3,0.2,"6,385.10","3,575.66"
SO - 0001515,2,0.05,"2,525.90","1,237.69"
SO - 0001516,8,0.05,"3,236.10","2,329.99"
SO - 0001517,7,0.075,"3,859.20","1,620.86"
SO - 0001518,2,0.05,207.70,145.39
SO - 0001519,6,0.075,"1,956.40","1,076.02"
SO - 0001520,3,0.2,"2,579.50","1,599.29"
SO - 0001521,6,0.05,"1,065.30",724.40
SO - 0001522,8,0.1,"3,872.60","2,710.82"
SO - 0001523,5,0.15,"6,137.20","4,234.67"
SO - 0001524,1,0.15,951.40,808.69
SO - 0001525,6,0.075,"2,438.80","1,999.82"
SO - 0001526,5,0.05,"1,192.60",667.86
SO - 0001527,2,0.2,"6,291.30","4,844.30"
SO - 0001528,7,0.075,"2,525.90","1,944.94"
SO - 0001529,5,0.075,"1,313.20",906.11
SO - 0001530,8,0.15,871.00,705.51
SO - 0001531,1,0.075,"3,953.00","2,174.15"
SO - 0001532,8,0.2,"3,973.10","1,708.43"
SO - 0001533,4,0.15,"6,298.00","4,534.56"
SO - 0001534,3,0.075,877.70,561.73
SO - 0001535,8,0.075,844.20,430.54
SO - 0001536,7,0.05,"6,472.20","2,977.21"
SO - 0001537,1,0.05,"3,986.50","1,993.25"
SO - 0001538,7,0.05,"3,993.20","3,354.29"
SO - 0001539,2,0.05,"6,097.00","3,048.50"
SO - 0001540,5,0.075,"1,098.80",780.15
SO - 0001541,8,0.05,"3,966.40","2,697.15"
SO - 0001542,8,0.05,"1,809.00","1,537.65"
SO - 0001543,1,0.15,"2,445.50","1,785.22"
SO - 0001544,7,0.1,"6,499.00","4,744.27"
SO - 0001545,6,0.075,"2,010.00",844.20
SO - 0001546,2,0.075,"3,946.30","2,012.61"
SO - 0001547,8,0.1,"1,768.80","1,220.47"
SO - 0001548,4,0.1,"2,257.90","1,128.95"
SO - 0001549,3,0.075,261.30,222.11
SO - 0001550,8,0.075,"3,966.40","2,141.86"
SO - 0001551,1,0.075,"1,708.50","1,452.23"
SO - 0001552,3,0.075,268.00,195.64
SO - 0001553,1,0.05,"5,929.50","2,786.87"
SO - 0001554,7,0.05,"1,125.60",495.26
SO - 0001555,3,0.05,871.00,722.93
SO - 0001556,8,0.3,"3,919.50","2,038.14"
SO - 0001557,2,0.3,670.00,475.70
SO - 0001558,4,0.075,"1,876.00","1,031.80"
SO - 0001559,2,0.075,"1,989.90",835.76
SO - 0001560,5,0.075,"1,809.00","1,266.30"
SO - 0001561,2,0.075,"5,038.40","3,023.04"
SO - 0001562,3,0.05,"2,324.90","1,394.94"
SO - 0001563,1,0.05,"2,291.40","1,810.21"
SO - 0001564,7,0.3,991.60,823.03
SO - 0001565,4,0.075,"1,098.80",791.14
SO - 0001566,6,0.2,"3,410.30","2,387.21"
SO - 0001567,1,0.15,683.40,457.88
SO - 0001568,8,0.075,"1,695.10",678.04
SO - 0001569,7,0.15,261.30,109.75
SO - 0001570,6,0.1,"3,912.80","1,956.40"
SO - 0001571,5,0.075,"1,896.10",891.17
SO - 0001572,6,0.3,"1,118.90",749.66
SO - 0001573,4,0.1,"1,092.10",698.94
SO - 0001574,6,0.3,"1,936.30",910.06
SO - 0001575,6,0.075,"1,922.90","1,211.43"
SO - 0001576,7,0.15,"3,906.10","2,538.97"
SO - 0001577,2,0.05,891.10,365.35
SO - 0001578,6,0.1,"3,323.20","2,658.56"
SO - 0001579,1,0.075,"1,675.00",670.00
SO - 0001580,8,0.05,"1,159.10",567.96
SO - 0001581,1,0.05,"1,038.50",820.42
SO - 0001582,2,0.075,"2,311.50","1,410.02"
SO - 0001583,8,0.15,"2,519.20","1,435.94"
SO - 0001584,3,0.2,187.60,78.79
SO - 0001585,5,0.05,"1,989.90","1,432.73"
SO - 0001586,5,0.075,"3,912.80","3,091.11"
SO - 0001587,5,0.075,"6,485.60","4,215.64"
SO - 0001588,7,0.1,"5,842.40","4,557.07"
SO - 0001589,2,0.4,"5,641.40","4,343.88"
SO - 0001590,7,0.05,201.00,124.62
SO - 0001591,7,0.075,"3,946.30","1,578.52"
SO - 0001592,7,0.075,"3,061.90","2,051.47"
SO - 0001593,3,0.1,"3,939.60","2,087.99"
SO - 0001594,2,0.05,167.50,73.70
SO - 0001595,6,0.2,978.20,538.01
SO - 0001596,6,0.05,254.60,127.30
SO - 0001597,5,0.075,"3,611.30","2,672.36"
SO - 0001598,8,0.05,261.30,209.04
SO - 0001599,1,0.075,"1,065.30",862.89
SO - 0001600,3,0.1,"5,480.60","2,575.88"
SO - 0001601,7,0.075,"3,986.50","2,033.12"
SO - 0001602,7,0.05,"6,157.30","4,248.54"
SO - 0001603,3,0.05,"3,457.20","2,869.48"
SO - 0001604,2,0.1,"5,815.60","3,082.27"
SO - 0001605,8,0.1,"2,244.50","1,346.70"
SO - 0001606,6,0.05,"1,092.10",720.79
SO - 0001607,8,0.05,"2,666.60","1,999.95"
SO - 0001608,1,0.1,"3,986.50","1,873.66"
SO - 0001609,1,0.05,"1,842.50","1,529.28"
SO - 0001610,5,0.05,"5,085.30","4,271.65"
SO - 0001611,2,0.3,"2,257.90","1,264.42"
SO - 0001612,5,0.05,"3,953.00","2,490.39"
SO - 0001613,7,0.05,917.90,743.50
SO - 0001614,4,0.1,723.60,376.27
SO - 0001615,3,0.15,"3,577.80","1,431.12"
SO - 0001616,8,0.1,"1,742.00","1,393.60"
SO - 0001617,5,0.05,247.90,99.16
SO - 0001618,1,0.1,"1,762.10","1,162.99"
SO - 0001619,8,0.075,991.60,624.71
SO - 0001620,5,0.05,"1,065.30",713.75
SO - 0001621,6,0.15,"1,152.40",772.11
SO - 0001622,8,0.075,"2,914.50","2,448.18"
SO - 0001623,1,0.1,"5,239.40","2,619.70"
SO - 0001624,2,0.3,"1,139.00",968.15
SO - 0001625,4,0.075,"2,010.00","1,688.40"
SO - 0001626,3,0.075,"1,165.80",734.45
SO - 0001627,7,0.1,"3,959.70","3,009.37"
SO - 0001628,6,0.05,"2,599.60","2,001.69"
SO - 0001629,7,0.05,"2,787.20","1,254.24"
SO - 0001630,1,0.05,"1,025.10",563.81
SO - 0001631,3,0.3,"3,919.50","2,900.43"
SO - 0001632,5,0.2,"3,993.20","1,597.28"
SO - 0001633,5,0.15,"6,344.90","4,251.08"
SO - 0001634,1,0.075,"1,152.40",898.87
SO - 0001635,8,0.05,"3,993.20","2,675.44"
SO - 0001636,2,0.1,268.00,182.24
SO - 0001637,4,0.075,"5,232.70","3,610.56"
SO - 0001638,2,0.075,"2,465.60","1,430.05"
SO - 0001639,1,0.15,"1,018.40",437.91
SO - 0001640,1,0.4,"2,613.00","2,168.79"
SO - 0001641,5,0.4,"1,038.50",685.41
SO - 0001642,6,0.05,"2,318.20","1,043.19"
SO - 0001643,2,0.075,"1,219.40",865.77
SO - 0001644,2,0.15,"5,306.40","2,334.82"
SO - 0001645,6,0.05,"2,479.00","1,462.61"
SO - 0001646,8,0.1,227.80,186.80
SO - 0001647,3,0.1,"5,929.50","3,498.41"
SO - 0001648,6,0.15,"1,728.60","1,175.45"
SO - 0001649,4,0.075,"1,045.20",825.71
SO - 0001650,8,0.1,"1,721.90","1,411.96"
SO - 0001651,8,0.05,"3,845.80","2,999.72"
SO - 0001652,2,0.4,"2,706.80","1,651.15"
SO - 0001653,5,0.075,"2,613.00","1,358.76"
SO - 0001654,3,0.075,"3,631.40","2,977.75"
SO - 0001655,3,0.05,"1,105.50",563.81
SO - 0001656,1,0.15,"1,045.20",533.05
SO - 0001657,8,0.05,"3,041.80","1,551.32"
SO - 0001658,5,0.075,"1,755.40",965.47
SO - 0001659,1,0.05,"2,291.40","1,191.53"
SO - 0001660,6,0.2,"1,058.60",719.85
SO - 0001661,8,0.1,"1,065.30",479.39
SO - 0001662,5,0.4,241.20,115.78
SO - 0001663,7,0.1,"1,132.30",781.29
SO - 0001664,2,0.15,"2,224.40","1,890.74"
SO - 0001665,4,0.075,824.10,659.28
SO - 0001666,2,0.1,"2,351.70","1,458.05"
SO - 0001667,1,0.05,"6,344.90","2,918.65"
SO - 0001668,6,0.1,"5,621.30","3,541.42"
SO - 0001669,6,0.05,"1,031.80",598.44
SO - 0001670,4,0.05,"2,405.30","1,828.03"
SO - 0001671,2,0.075,"1,105.50",906.51
SO - 0001672,5,0.075,"1,775.50",958.77
SO - 0001673,2,0.075,"1,092.10",786.31
SO - 0001674,6,0.075,207.70,83.08
SO - 0001675,4,0.1,"1,809.00",759.78
SO - 0001676,8,0.075,"1,842.50","1,437.15"
SO - 0001677,4,0.1,"3,839.10","2,764.15"
SO - 0001678,7,0.15,268.00,171.52
SO - 0001679,3,0.3,"1,829.10",859.68
SO - 0001680,1,0.2,"1,795.60","1,256.92"
SO - 0001681,6,0.4,"1,118.90",458.75
SO - 0001682,2,0.075,"1,118.90",716.10
SO - 0001683,4,0.1,"3,926.20","2,630.55"
SO - 0001684,8,0.05,917.90,514.02
SO - 0001685,6,0.2,207.70,99.70
SO - 0001686,1,0.075,"1,976.50","1,264.96"
SO - 0001687,4,0.15,"3,959.70","2,613.40"
SO - 0001688,2,0.1,"1,098.80",846.08
SO - 0001689,2,0.05,877.70,728.49
SO - 0001690,5,0.1,"2,552.70","1,276.35"
SO - 0001691,8,0.05,"1,025.10",768.83
SO - 0001692,7,0.15,"1,045.20",668.93
SO - 0001693,8,0.4,"5,983.10","2,393.24"
SO - 0001694,6,0.075,"1,112.20",756.30
SO - 0001695,6,0.2,"1,855.90",816.60
SO - 0001696,6,0.05,"3,825.70","2,295.42"
SO - 0001697,8,0.3,817.40,653.92
SO - 0001698,8,0.075,737.00,375.87
SO - 0001699,5,0.05,"2,465.60","1,651.95"
SO - 0001700,6,0.1,857.60,686.08
SO - 0001701,6,0.2,"1,078.70",431.48
SO - 0001702,6,0.2,"3,390.20","2,746.06"
SO - 0001703,3,0.2,"5,514.10","4,356.14"
SO - 0001704,8,0.05,207.70,145.39
SO - 0001705,2,0.05,"2,010.00",924.60
SO - 0001706,5,0.075,"1,949.70","1,052.84"
SO - 0001707,7,0.075,174.20,106.26
SO - 0001708,7,0.05,"1,139.00",797.30
SO - 0001709,8,0.075,"5,319.80","2,181.12"
SO - 0001710,4,0.15,"3,926.20","2,080.89"
SO - 0001711,3,0.05,"1,038.50",768.49
SO - 0001712,5,0.15,"5,038.40","2,972.66"
SO - 0001713,5,0.05,"1,058.60",561.06
SO - 0001714,5,0.05,221.10,97.28
SO - 0001715,1,0.1,"3,296.40","2,505.26"
SO - 0001716,6,0.05,"5,648.10","2,711.09"
SO - 0001717,1,0.1,"1,118.90",727.29
SO - 0001718,4,0.075,"2,680.00","2,224.40"
SO - 0001719,8,0.05,"3,865.90","2,860.77"
SO - 0001720,1,0.075,951.40,399.59
SO - 0001721,6,0.075,"5,621.30","4,272.19"
SO - 0001722,3,0.1,"3,999.90","3,119.92"
SO - 0001723,2,0.05,"6,398.50","3,647.15"
SO - 0001724,2,0.3,"1,038.50",633.49
SO - 0001725,7,0.075,"6,525.80","2,806.09"
SO - 0001726,5,0.4,"1,092.10",808.15
SO - 0001727,3,0.05,"3,879.30","2,715.51"
SO - 0001728,6,0.1,"2,599.60","2,027.69"
SO - 0001729,2,0.05,850.90,485.01
SO - 0001730,2,0.1,"1,031.80",773.85
SO - 0001731,8,0.075,194.30,79.66
SO - 0001732,2,0.2,"2,331.60","1,585.49"
SO - 0001733,3,0.2,"3,001.60","2,191.17"
SO - 0001734,3,0.05,207.70,168.24
SO - 0001735,6,0.2,743.70,438.78
SO - 0001736,7,0.075,207.70,120.47
SO - 0001737,3,0.1,"5,768.70","3,922.72"
SO - 0001738,7,0.4,"1,916.20","1,341.34"
SO - 0001739,8,0.3,"2,633.10","2,238.14"
SO - 0001740,7,0.1,"1,065.30",639.18
SO - 0001741,3,0.2,"2,257.90","1,603.11"
SO - 0001742,1,0.05,991.60,545.38
SO - 0001743,4,0.075,"2,338.30","1,660.19"
SO - 0001744,7,0.075,"2,988.20","1,583.75"
SO - 0001745,6,0.4,"1,118.90",682.53
SO - 0001746,6,0.15,"2,485.70","1,267.71"
SO - 0001747,4,0.2,"2,847.50","1,708.50"
SO - 0001748,4,0.2,"3,296.40","2,571.19"
SO - 0001749,4,0.1,971.50,689.77
SO - 0001750,7,0.2,194.30,102.98
SO - 0001751,6,0.4,"5,969.70","3,223.64"
SO - 0001752,1,0.05,"1,078.70",625.65
SO - 0001753,7,0.05,"2,412.00","1,640.16"
SO - 0001754,4,0.05,"1,159.10",904.10
SO - 0001755,4,0.075,"1,882.70",809.56
SO - 0001756,6,0.2,"1,949.70","1,072.34"
SO - 0001757,3,0.05,"1,098.80",747.18
SO - 0001758,7,0.05,"3,155.70","2,335.22"
SO - 0001759,5,0.2,"2,680.00","2,144.00"
SO - 0001760,5,0.05,"5,956.30","3,871.60"
SO - 0001761,8,0.1,"2,010.00",924.60
SO - 0001762,6,0.075,"1,319.90",963.53
SO - 0001763,8,0.075,"1,775.50","1,065.30"
SO - 0001764,2,0.15,187.60,129.44
SO - 0001765,5,0.05,"1,139.00",899.81
SO - 0001766,5,0.15,"1,005.00",824.10
SO - 0001767,5,0.2,"2,385.20","1,097.19"
SO - 0001768,6,0.05,"1,085.40",911.74
SO - 0001769,5,0.2,"1,809.00","1,519.56"
SO - 0001770,4,0.05,897.80,646.42
SO - 0001771,3,0.2,"1,246.20",847.42
SO - 0001772,1,0.3,"1,118.90",503.51
SO - 0001773,3,0.05,"1,018.40",835.09
SO - 0001774,1,0.075,"5,105.40","3,982.21"
SO - 0001775,8,0.075,"1,159.10",753.42
SO - 0001776,3,0.075,"1,916.20","1,379.66"
SO - 0001777,3,0.15,247.90,131.39
SO - 0001778,4,0.075,884.40,610.24
SO - 0001779,1,0.1,"1,139.00",774.52
SO - 0001780,3,0.3,174.20,85.36
SO - 0001781,8,0.05,951.40,761.12
SO - 0001782,4,0.05,167.50,125.63
SO - 0001783,8,0.05,"5,138.90","3,956.95"
SO - 0001784,7,0.05,214.40,109.34
SO - 0001785,8,0.15,"1,011.70",475.50
SO - 0001786,6,0.05,"1,159.10",915.69
SO - 0001787,3,0.05,"1,058.60",857.47
SO - 0001788,4,0.15,"1,869.30",766.41
SO - 0001789,5,0.4,"1,762.10","1,409.68"
SO - 0001790,3,0.075,"2,492.40","1,869.30"
SO - 0001791,7,0.075,"3,919.50","2,038.14"
SO - 0001792,1,0.075,"2,519.20","1,007.68"
SO - 0001793,3,0.3,"3,872.60","3,252.98"
SO - 0001794,2,0.075,"1,855.90","1,354.81"
SO - 0001795,1,0.05,"4,006.60","3,205.28"
